Team,CTF points,Rating points
1,More Smoked Leet Chicken,4755
2,zer0pts,4471
3,0ops,3896
4,PFS,3694
5,Dragon Sector,3389
6,r00timentary,3297
7,justCatTheFish,3101
8,RedRocket,2874
9,perfect blue,2308
10,IrisSec,2232
11,OSUSEC,1983
12,The Flat Network Society,1963
13,Black Bauhinia,1885
14,ALLES!,1880
15,Super Guesser,1875
16,Crusaders of Rust,1850
17,Samurai,1582
18,Lilac,1511
19,MELTDOWN,1502
20,hhh_,1485
21,Ox002147,1469
22,Corrupted Pwnis,1468
23,FAUST,1436
24,kalmarunionen,1427
25,Skiddies,1386
26,bi0s,1340
27,SUS,1303
28,shitpography,1286
29,watevr,1281
30,33e3393c59bed4a77cb2d2ec2cd80e13,1209
31,Plaid Parliament of Pwning,1191
32,Balsn,1165
33,Apotekarnes,1138
34,TheGoonies,1096
35,EPT,1096
36,AntiBuddies,1041
37,Defenit,1041
38,NightOwla,1041
39,CyKOR,1041
40,Buckeye Bureau of BOF,995
41,team_7even,986
42,skateboarding dog,980
43,xof5566~,965
44,NUSGreyhats,961
45,RPISEC,944
46,Bulba Hackers,942
47,Djavaa,941
48,we11_d0ne,941
49,0x90r00t,911
50,d867924172d1d57e17707448958c5966,910
51,Hexion,892
52,Rogue Waves,892
53,Nu1L,859
54,SaturnX,845
55,efiens,845
56,PLUS,845
57,RootMeUpBeforeYouGoGo,845
58,Debugmen,845
59,mode13h,842
60,TwentyFive,831
61,TSG,828
62,DSGS4T,811
63,LaserDragons,779
64,Unwanted_MSware,755
65,pobateam,729
66,it's pronounced gheeeedra,724
67,DarkArmy,715
68,Zh3r0_0ffici4l,715
69,ARESx,715
70,TLS,715
71,nyahello,714
72,BKDN_GenZ,696
73,SigPwny,696
74,Nupakachi,696
75,Stack CanaRIIs,696
76,MorningLightMountain,696
77,Contrail,696
78,Mail.ru,696
79,coldboots,696
80,BinaryBears,696
81,defcongroup702,696
82,CSI,695
83,SU,666
84,(l00p3r1n0;cat) > fs0c13ty,655
85,ELFDump,640
86,Sieberrsec,605
87,KUDoS,594
88,Venom,594
89,L3H Sec,594
90,******,594
91,spica,594
92,N0p,594
93,TeamRocketIst,594
94,STT,594
95,bootleg-knightsec,589
96,e^iPi+1day,586
97,Rizaaaaaaaaa,585
98,n0n$la$,580
99,cold_root,580
100,Zense,580
101,c0r3dump,580
102,keymoon,580
103,hackpack,580
104,csictf,580
105,FetchOrbis,580
106,Sam.Ninja,580
107,w01verines,580
108,Whatever it takes,575
109,Delft Hacking Lab,575
110,lowprivshighhopes,574
111,SBthread,566
112,Ganesh,566
113,Dashu,566
114,etherknot,566
115,Wanna.One,566
116,Hacknam Style,566
117,dcua,566
118,fearless,566
119,LuftensHjaltar,552
120,RGBsec,489
121,Mayas,483
122,VietCongSoldiers,483
123,JT,482
124,MonkOnMars,473
125,hamayanhamayan,470
126,Lost_in_Space,470
127,Em0n,470
128,TP,470
129,R3d Cr3sc3nt,470
130,Deadlock Team,470
131,EffectRenan,470
132,mugi,469
133,linkforce,469
134,pappo,469
135,ffffx00000,465
136,Goburin',459
137,beerpwn,455
138,NorthWest,455
139,NavETS,450
140,InSecurity,450
141,Fword,450
142,Cyber Security Leaks,450
143,EConGa,450
144,MİT-TEAM,450
145,backspace,450
146,CTF.SG,445
147,Hackiit,445
148,flib,445
149,ShroomZ,445
150,0x8Layer,445
151,w1ldc4t,445
152,Flag Hunters,445
153,NYUSEC,445
154,Maple Bacon,445
155,b01lers,445
156,Serokell,445
157,ntropy,445
158,fierceBadRabbits,445
159,0x3f,436
160,casualz,415
161,PiratesSyndicate,376
162,m1t0,376
163,tiangeng,376
164,Ph0t1n1a,376
165,Callipygian Consortium of Cryptography,367
166,hack4chai,359
167,sequence,349
168,f0rt1fy,345
169,Gateway,340
170,bootplug,340
171,TEAM0001,340
172,VTeam,340
173,eppooo,340
174,ANLE,340
175,1Tree,340
176,Panya,340
177,Kernel Sanders,339
178,as3617,339
179,keksd0se,339
180,asdasd123,339
181,pwnguins,335
182,HackademINT,335
183,dex,334
184,d4rkc0de,334
185,KUICS,334
186,blackjackets,334
187,N0Named,334
188,onotch,334
189,acdwas,334
190,Ba Sing Sec,334
191,L Distribution,329
192,trancoso_rules,329
193,Shellphish,329
194,Scavenger Security,329
195,EPITA Rennes,329
196,STeam,329
197,reKeyzen,329
198,xtal,329
199,ISFCR CTF,329
200,Lopatz,329
201,BADSUD0'S,329
202,HuntsvilleTechSupport,329
203,(mendung)10^6,329
204,GuinessN00b,329
205,N33rdZ,329
206,ISwearIGoogledIt,329
207,Sentry Whale,328
208,Gulag Gang,266
209,zzre,266
210,PwnStar,266
211,crypt0nite,266
212,PWN.rar,265
213,uetctf,251
214,VHCBlade,238
215,fomaedo,238
216,.au,229
217,TylerGetsay,228
218,anemone,227
219,Dent,227
220,fernetInjection,227
221,Pwnie Island,227
222,EvilBunnyWrote,227
223,burner_herz0g,227
224,iptL,227
225,YoloSw4g,227
226,Brap,226
227,Hash Slinging Hackers,226
228,Zer0Day,226
229,0n3mh5,224
230,n0paew,224
231,mjkoo,222
232,RUSEC,222
